Time_ns,PC1,PC2,PC3,Cluster,RMSD_A,NativeQ,Rg_A
14.7,0.4673,-0.6990,-0.0024,1,4.5909,0.4479,7.2319
14.8,0.4536,-0.4741,-0.1113,1,4.2482,0.4627,7.0890
14.9,0.4908,-0.3989,0.2725,1,4.2608,0.4435,7.3903
15.0,0.7436,-0.4717,0.3898,1,4.6066,0.4425,7.5954
15.1,0.5581,-0.6067,-0.0175,1,4.5025,0.4502,7.1633
15.2,0.5666,-0.5134,0.1494,1,4.2498,0.4510,7.3417
15.3,0.3848,-0.6303,0.3309,1,4.3327,0.4475,7.4536
15.4,0.7938,-0.0725,0.1620,2,4.2646,0.4500,7.4172
15.5,0.4798,-0.2232,0.2169,1,4.0284,0.4429,7.4196
15.6,0.8238,-0.3182,0.2146,1,4.4344,0.4440,7.4132
15.7,0.5439,-0.2776,0.0486,1,4.3916,0.4580,7.2473
15.8,0.6147,-0.5599,0.3102,1,4.4411,0.4470,7.3953
15.9,0.4083,-0.4454,0.5132,1,4.3253,0.4449,7.4782
16.0,0.6116,-0.2308,0.2513,1,4.2308,0.4505,7.2357
16.1,0.4148,-0.1467,-0.3564,1,3.9563,0.4744,6.8927
16.2,0.3308,-0.3241,-0.3035,1,3.9019,0.4748,6.9487
16.3,0.3831,-0.1975,-0.3664,1,3.8639,0.4741,6.9076
16.4,0.3737,-0.2182,-0.3516,1,3.8110,0.4751,6.9588
16.5,0.3056,-0.3358,-0.3299,1,3.7379,0.4703,7.0120
16.6,0.2952,-0.3292,-0.2729,1,3.8017,0.4736,6.9378
16.7,0.3293,-0.3079,-0.3529,1,3.6825,0.4894,6.8291
16.8,0.2634,-0.3662,-0.3996,1,3.6899,0.4747,7.0197
16.9,0.2928,-0.2275,-0.2778,1,3.4224,0.4936,6.7672
17.0,0.1528,-0.4526,-0.1213,1,3.5340,0.4897,6.8601
17.1,0.1060,-0.4541,-0.3136,1,3.3892,0.4950,6.7201
17.2,0.1618,-0.3540,-0.2972,1,3.4804,0.4921,6.8183
17.3,0.2924,-0.1545,-0.1012,1,3.1712,0.4816,7.0595
17.4,0.6250,0.1864,-0.1366,2,3.6403,0.4663,7.2085
17.5,0.5150,-0.1558,0.0359,1,3.6335,0.4550,7.3540
17.6,0.3373,-0.1397,0.0190,1,3.2930,0.4782,7.0696
17.7,0.3277,-0.2849,-0.0098,1,3.5097,0.4806,7.0440
17.8,0.4628,-0.0536,-0.1484,1,3.5304,0.4666,7.1547
17.9,0.3231,-0.2587,-0.3408,1,3.5518,0.4913,6.8387
18.0,0.1826,-0.4234,-0.4446,1,3.6456,0.4940,6.6917
18.1,-0.0747,-0.6349,-0.3159,1,3.7326,0.4802,6.8588
18.2,0.3522,-0.2448,0.0352,1,3.3959,0.4723,7.1052
18.3,0.4487,-0.1027,-0.0491,1,3.5569,0.4798,7.0638
18.4,0.3411,-0.2219,-0.2477,1,3.6151,0.4816,6.9715
18.5,0.2275,-0.2494,-0.0314,1,3.2233,0.4855,7.0643
18.6,0.1222,-0.1888,0.1676,1,3.1344,0.4739,7.2274
