Time_ns,Rg_A
52.5,6.8503
52.6,6.8463
52.7,6.8552
52.8,6.7483
52.9,6.9225
53.0,6.8761
53.1,6.7691
53.2,6.8513
53.3,6.9003
53.4,6.7559
53.5,6.7933
53.6,6.8115
53.7,6.8125
53.8,6.9172
53.9,6.7297
54.0,6.6718
54.1,6.8251
54.2,6.8002
54.3,6.7988
54.4,6.7972
54.5,6.8093
54.6,6.7671
54.7,6.8699
54.8,6.8843
54.9,6.8536
55.0,7.0112
55.1,6.8489
55.2,6.9041
55.3,6.8255
55.4,6.8037
55.5,6.7934
55.6,6.8342
55.7,6.7618
55.8,6.8971
55.9,6.7844
56.0,6.8218
56.1,6.8069
56.2,6.9372
56.3,6.8085
56.4,6.6866
56.5,6.7846
56.6,6.8741
56.7,6.8306
56.8,6.7620
56.9,6.9380
57.0,6.6698
57.1,6.7578
57.2,6.8917
57.3,6.8565
57.4,6.8329
57.5,6.8474
57.6,6.6643
57.7,6.7193
57.8,7.0628
57.9,6.7680
58.0,6.7957
58.1,6.9019
58.2,6.7781
58.3,6.8902
58.4,6.7392
58.5,6.8205
58.6,6.8585
58.7,6.7933
58.8,6.7874
58.9,6.8194
59.0,6.9402
59.1,6.9484
59.2,6.9104
59.3,6.9759
59.4,7.0883
59.5,6.9855
59.6,6.7531
59.7,6.8536
59.8,6.7943
59.9,6.7824
60.0,6.9204
60.1,6.8384
60.2,6.9108
60.3,6.7324
60.4,6.7634
60.5,6.8569
60.6,6.9813
60.7,7.1586
60.8,7.0478
60.9,6.9440
61.0,6.7464
61.1,6.6922
61.2,6.7756
61.3,7.1584
61.4,6.8087
61.5,6.9620
61.6,6.8527
61.7,7.0642
61.8,6.9146
61.9,7.0669
62.0,6.9609
62.1,7.0761
62.2,7.1687
62.3,6.8781
62.4,6.8129
62.5,6.7431
62.6,6.9358
62.7,6.8025
62.8,6.9315
62.9,7.0792
63.0,6.9150
63.1,7.1622
63.2,6.7930
63.3,6.7807
63.4,6.7602
63.5,6.9301
63.6,6.9213
63.7,7.0177
63.8,6.9833
63.9,6.8712
64.0,6.8389
64.1,7.1052
64.2,7.0418
64.3,6.9543
64.4,7.0234
64.5,7.0601
64.6,6.8986
64.7,6.9833
64.8,6.9573
64.9,6.7098
65.0,6.9897
65.1,6.7545
65.2,6.9345
65.3,6.8680
65.4,6.8113
65.5,6.8554
65.6,6.9162
65.7,6.9107
65.8,6.8956
65.9,6.7391
66.0,6.8843
66.1,6.7744
66.2,6.8537
66.3,6.6958
66.4,6.7954
66.5,6.8174
66.6,6.8978
66.7,6.7661
66.8,6.8587
66.9,6.9791
67.0,6.8358
67.1,6.7389
67.2,6.8221
67.3,6.7949
67.4,6.8740
67.5,6.8663
67.6,6.8086
67.7,6.7955
67.8,6.8794
67.9,6.8787
68.0,6.7869
68.1,6.7841
68.2,6.9470
68.3,6.7992
68.4,6.9140
68.5,6.7606
68.6,6.7954
68.7,6.7621
68.8,6.7892
68.9,6.7926
69.0,6.8069
69.1,6.8181
69.2,6.7574
69.3,6.8338
69.4,6.8385
69.5,6.7105
69.6,6.6711
69.7,6.9442
69.8,6.8466
69.9,6.8467
70.0,6.9343
70.1,6.7363
70.2,6.8172
70.3,6.8495
70.4,6.8983
70.5,6.8290
70.6,6.7988
70.7,6.9040
70.8,6.8260
70.9,6.8515
71.0,6.7969
71.1,6.7764
71.2,6.7147
71.3,6.8119
71.4,6.8794
71.5,6.8748
71.6,6.8329
71.7,6.7138
71.8,6.9939
71.9,6.9576
72.0,6.8579
72.1,6.6318
72.2,6.8518
72.3,7.0065
72.4,7.1827
72.5,7.1822
72.6,6.9175
72.7,6.8234
72.8,6.6751
72.9,6.8198
73.0,7.1077
73.1,6.7610
73.2,6.8975
73.3,7.0068
73.4,6.7760
73.5,6.9013
73.6,6.7828
73.7,6.8617
73.8,6.7443
73.9,7.0345
74.0,6.7797
74.1,6.9475
74.2,6.8211
74.3,7.0417
74.4,6.9781
74.5,6.8232
74.6,7.0420
74.7,6.8948
74.8,6.7763
74.9,6.8132
75.0,6.8947
75.1,6.8001
75.2,6.8013
75.3,7.0247
75.4,6.7858
75.5,6.9524
75.6,6.9198
75.7,6.8592
75.8,6.9171
75.9,6.9049
76.0,6.8936
76.1,6.8326
76.2,6.9027
76.3,6.8587
76.4,6.8276
76.5,6.7662
76.6,7.0328
76.7,6.9309
76.8,6.9020
76.9,6.8489
77.0,6.8581
77.1,6.7988
77.2,6.7982
77.3,6.8293
77.4,6.7610
77.5,6.9208
77.6,6.8667
77.7,6.8153
77.8,6.8948
77.9,6.7541
78.0,6.8548
78.1,6.7453
78.2,6.7333
78.3,6.8631
78.4,6.8863
78.5,6.8471
78.6,6.7529
78.7,6.9037
78.8,6.8178
78.9,6.9384
79.0,6.8841
79.1,6.7069
79.2,6.8330
79.3,6.8870
79.4,6.9003
79.5,6.9695
79.6,6.8373
79.7,6.7120
79.8,6.6940
79.9,6.6897
80.0,6.8171
80.1,6.7943
80.2,6.9272
80.3,6.8453
80.4,6.9935
80.5,6.8568
80.6,6.7763
80.7,6.8441
80.8,6.8768
80.9,6.8430
81.0,6.8033
81.1,6.8031
81.2,6.8033
81.3,6.8167
81.4,6.7938
81.5,6.8664
81.6,6.9134
81.7,6.8562
81.8,6.8149
81.9,6.9746
82.0,6.9789
82.1,6.9789
82.2,6.9056
82.3,6.7934
82.4,6.7916
82.5,6.7488
82.6,6.9419
82.7,6.8480
82.8,7.0411
82.9,6.8076
83.0,6.9104
83.1,6.8447
83.2,6.9334
83.3,6.8219
83.4,6.8544
83.5,6.9041
83.6,6.9850
83.7,6.8274
83.8,6.9118
83.9,6.9431
84.0,6.8472
84.1,6.8618
84.2,6.7906
84.3,6.8143
84.4,6.7409
84.5,6.8155
84.6,6.9370
84.7,6.8985
84.8,6.9302
84.9,6.7633
85.0,6.8158
85.1,6.8344
85.2,6.8424
85.3,6.7817
85.4,6.7878
85.5,6.8616
85.6,6.9886
85.7,6.8963
85.8,6.9240
85.9,6.9056
86.0,6.8904
86.1,6.8275
86.2,6.8113
86.3,6.8992
86.4,6.7694
86.5,6.8136
86.6,6.9652
86.7,6.8003
86.8,6.7622
86.9,6.8547
87.0,6.7770
87.1,6.7582
87.2,6.8850
87.3,6.7567
87.4,6.8461
87.5,6.8536
87.6,6.8232
87.7,6.7384
87.8,6.7607
87.9,6.8712
88.0,6.7684
88.1,6.8473
88.2,6.8920
88.3,6.8425
88.4,6.8871
88.5,6.7222
88.6,6.8079
88.7,6.9194
88.8,6.9137
88.9,6.8374
89.0,6.8885
89.1,6.8337
89.2,6.8909
89.3,6.8016
89.4,6.8299
89.5,6.9309
89.6,6.8493
89.7,6.8174
89.8,6.9627
89.9,6.8017
90.0,6.8727
90.1,6.8598
90.2,6.9518
90.3,6.8336
90.4,6.9176
