Time_ns,RMSD_A
65.2,1.8963
65.3,2.2198
65.4,1.9329
65.5,2.0919
65.6,2.5252
65.7,2.0220
65.8,2.1361
65.9,2.3934
66.0,2.4053
66.1,2.3413
66.2,2.4195
66.3,2.3878
66.4,2.1020
66.5,2.3932
66.6,2.1717
66.7,2.3346
66.8,2.2247
66.9,2.2773
67.0,2.3690
67.1,2.5093
67.2,2.3866
67.3,2.3931
67.4,2.4786
67.5,2.1001
67.6,2.1367
67.7,2.4584
67.8,2.3605
67.9,2.3274
68.0,2.2938
68.1,2.2631
68.2,2.1941
68.3,2.5492
68.4,2.2821
68.5,2.2830
68.6,2.2338
68.7,2.4574
68.8,2.3850
68.9,2.2997
69.0,2.2593
69.1,2.1338
69.2,2.2134
69.3,2.3504
69.4,2.2750
69.5,2.3004
69.6,2.4330
69.7,2.1221
69.8,2.2513
69.9,2.4024
70.0,2.3647
70.1,2.5522
70.2,2.3815
70.3,2.2142
70.4,2.7326
70.5,2.5611
70.6,2.3930
70.7,2.3585
70.8,2.3873
70.9,2.2280
71.0,2.4805
71.1,2.6031
71.2,2.4151
71.3,2.2229
71.4,2.3154
71.5,2.2712
71.6,2.4822
71.7,2.6389
71.8,2.2855
71.9,2.2041
72.0,2.2218
72.1,2.5256
72.2,2.1762
72.3,2.0438
72.4,2.2960
72.5,2.4113
72.6,2.2449
72.7,2.3014
72.8,2.4092
72.9,2.4149
73.0,2.1323
73.1,2.3485
73.2,2.3606
73.3,2.2035
73.4,2.3050
73.5,2.2820
73.6,2.4316
73.7,2.5112
73.8,2.5356
73.9,2.2460
74.0,2.5258
74.1,2.2162
74.2,2.3380
74.3,2.1652
74.4,2.3623
74.5,2.2850
74.6,2.1764
74.7,2.1831
74.8,2.1499
74.9,2.2104
75.0,2.2959
75.1,2.2239
75.2,2.1581
75.3,2.1589
75.4,2.4142
75.5,2.2152
75.6,2.3105
75.7,2.2953
75.8,2.1842
75.9,2.1322
76.0,2.2344
76.1,2.2675
76.2,2.2904
76.3,2.3113
76.4,2.3328
76.5,2.3444
76.6,2.3807
76.7,2.3820
76.8,2.2895
76.9,2.3868
77.0,2.6607
77.1,2.2687
77.2,2.2759
77.3,2.2935
77.4,2.3666
77.5,2.3855
77.6,2.2033
77.7,2.2622
77.8,2.3258
77.9,2.5208
78.0,2.4770
78.1,2.6304
78.2,2.4681
78.3,2.5434
78.4,2.2880
78.5,2.1962
78.6,2.3930
78.7,2.2420
78.8,2.6243
78.9,2.3908
79.0,2.3346
79.1,2.4640
79.2,2.2757
79.3,2.5756
79.4,2.2065
79.5,2.1692
